Time (ms),Type,Order ID,Size,Price,Direction,,Ask Price 1,Ask Size 1,Bid Price 1,Bid Size 1,,Price (plot),Ask Price 1 (plot),Ask Size 1 (plot),Bid Price 1 (plot),Bid Size 1 (plot)
34200.01746,5,0,1,2238200,-1,,2239500,100,2231800.00,100,,223.82,223.95,100,223.18,100
34200.18961,1,11885113,21,2238100,1,,2239500,100,2238100.00,21,,223.81,223.95,100,223.81,21
34200.19023,4,11885113,21,2238100,1,,2239500,100,2237500.00,100,,223.81,223.95,100,223.75,100
34200.19023,4,11534792,26,2237500,1,,2239500,100,2237500.00,74,,223.75,223.95,100,223.75,74
34200.37278,5,0,100,2238400,-1,,2239500,100,2237500.00,74,,223.84,223.95,100,223.75,74
34200.37567,5,0,100,2238400,-1,,2239500,100,2237500.00,74,,223.84,223.95,100,223.75,74
34200.38397,5,0,100,2238600,-1,,2239500,100,2237500.00,74,,223.86,223.95,100,223.75,74
34200.38582,5,0,100,2238600,-1,,2239500,100,2237500.00,74,,223.86,223.95,100,223.75,74
34200.38721,5,0,100,2239200,-1,,2239500,100,2237500.00,74,,223.92,223.95,100,223.75,74
34200.38846,5,0,100,2239300,-1,,2239500,100,2237500.00,74,,223.93,223.95,100,223.75,74
34200.39141,4,14585251,100,2239500,-1,,2239500,306,2237500.00,74,,223.95,223.95,306,223.75,74
34200.39141,4,3911376,20,2239600,-1,,2239500,286,2237500.00,74,,223.96,223.95,286,223.75,74
34200.39141,4,16202496,286,2239600,-1,,2239500,100,2237500.00,74,,223.96,223.95,100,223.75,74
34200.39348,4,2135294,100,2239900,-1,,2239500,1451,2237500.00,74,,223.99,223.95,1451,223.75,74
34200.39441,1,16207239,100,2239900,-1,,2239500,100,2237500.00,74,,223.99,223.95,100,223.75,74
34200.39846,5,0,100,2239700,-1,,2239500,100,2237500.00,74,,223.97,223.95,100,223.75,74
34200.3986,5,0,100,2239700,-1,,2239500,100,2237500.00,74,,223.97,223.95,100,223.75,74
34200.40033,5,0,100,2239700,-1,,2239500,100,2237500.00,74,,223.97,223.95,100,223.75,74
34200.40153,5,0,10,2239700,-1,,2239500,100,2237500.00,74,,223.97,223.95,100,223.75,74
34200.40153,4,16207239,90,2239900,-1,,2239500,10,2237500.00,74,,223.99,223.95,10,223.75,74
34200.40192,1,16208720,50,2239900,-1,,2239500,60,2237500.00,74,,223.99,223.95,60,223.75,74
34200.40301,4,16207239,10,2239900,-1,,2239500,50,2237500.00,74,,223.99,223.95,50,223.75,74
34200.40301,4,16208720,50,2239900,-1,,2239500,1451,2237500.00,74,,223.99,223.95,1451,223.75,74
34200.40301,4,1365373,13,2240000,-1,,2239500,1438,2237500.00,74,,224,223.95,1438,223.75,74
34200.40301,4,1847685,27,2240000,-1,,2239500,1411,2237500.00,74,,224,223.95,1411,223.75,74
34200.40788,4,1847685,73,2240000,-1,,2239500,1338,2237500.00,74,,224,223.95,1338,223.75,74
34200.40788,4,2051705,20,2240000,-1,,2239500,1318,2237500.00,74,,224,223.95,1318,223.75,74
34200.40788,4,3578212,4,2240000,-1,,2239500,1314,2237500.00,74,,224,223.95,1314,223.75,74
34200.40788,4,3581197,3,2240000,-1,,2239500,1311,2237500.00,74,,224,223.95,1311,223.75,74
34200.41105,4,3581197,7,2240000,-1,,2239500,1304,2237500.00,74,,224,223.95,1304,223.75,74
34200.41105,4,3591155,50,2240000,-1,,2239500,1254,2237500.00,74,,224,223.95,1254,223.75,74
34200.41105,4,3689544,43,2240000,-1,,2239500,1211,2237500.00,74,,224,223.95,1211,223.75,74
34200.41206,4,3689544,57,2240000,-1,,2239500,1154,2237500.00,74,,224,223.95,1154,223.75,74
34200.41206,4,3920363,6,2240000,-1,,2239500,1148,2237500.00,74,,224,223.95,1148,223.75,74
34200.41206,4,3920364,23,2240000,-1,,2239500,1125,2237500.00,74,,224,223.95,1125,223.75,74
34200.41206,4,3920367,6,2240000,-1,,2239500,1119,2237500.00,74,,224,223.95,1119,223.75,74
34200.41206,4,3920371,54,2240000,-1,,2239500,1065,2237500.00,74,,224,223.95,1065,223.75,74
34200.41206,4,3920373,54,2240000,-1,,2239500,1011,2237500.00,74,,224,223.95,1011,223.75,74
34200.4172,4,3920374,15,2240000,-1,,2239500,996,2237500.00,74,,224,223.95,996,223.75,74
